Table 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrests ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by State, 2018", , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2018
estimated 
population",
COLORADO,Under 18,"17,906",758,"3,161",18,90,211,439,338,"2,455",314,54,"1,895",4,78,13,22,700,279,2,145,"2,257",0,37,217,"1,056",0,"1,762",0,"4,747",0,773,180,"4,952,541",
,Total all ages,"193,216","7,832","24,136",195,549,"1,166","5,922","2,301","19,199","2,437",199,"16,477",688,"2,243",112,526,"4,843","2,313",376,521,"16,172",7,"2,466","20,353","7,007",144,"6,887",549,"78,790",1,773,,,
CONNECTICUT,Under 18,"7,106",325,"1,359",6,27,153,139,206,862,273,18,"1,763",10,41,1,135,284,153,0,64,489,1,34,18,18,0,"1,460",0,950,0,1,104,"3,457,743",
,Total all ages,"95,709","3,399","12,312",79,212,870,"2,238","1,624","9,834",778,76,"17,370",582,921,140,692,"1,640","1,088",184,360,"8,087",10,"1,363","7,484",96,11,"10,505",41,"29,423",0,1,,,
DELAWARE,Under 18,"2,851",302,547,2,15,86,199,134,370,41,2,788,4,48,2,62,114,82,1,28,279,1,0,0,49,1,228,0,283,0,32,52,"964,106",
,Total all ages,"28,742","1,965","5,337",33,77,391,"1,464",688,"4,511",116,22,"6,121",210,"1,348",163,324,755,322,121,107,"3,707",9,185,427,669,323,"1,164",164,"5,289",0,32,,,
DISTRICT OF COLUMBIA5,Under 18,505,92,34,0,0,64,28,0,32,2,0,111,0,1,0,5,12,13,0,2,10,0,0,0,1,0,53,0,171,0,0,2,0,
,Total all ages,"13,682",185,86,0,2,113,70,0,76,9,1,411,3,3,0,14,35,42,0,20,290,0,2,9,817,49,300,13,"11,403",0,0,,,
"FLORIDA6, 7",Under 18,"48,213","3,218","12,686",46,253,"1,090","1,829","3,040","7,380","2,209",57,"8,152",48,401,32,119,890,799,0,290,"5,399",4,0,69,405,0,0,0,"15,701",0,0,596,"21,278,278",
,Total all ages,"715,424","34,907","89,456",712,"1,936","5,761","26,498","14,757","66,157","8,295",247,"80,570","1,989","11,207","1,086","1,632","6,129","6,604","1,920","2,862","134,142",123,0,"32,127","10,590",0,0,0,"300,080",0,0,,,
GEORGIA,Under 18,"15,400",836,"3,161",50,24,233,529,590,"2,311",228,32,"2,451",32,74,1,241,467,391,4,264,"2,053",2,122,139,207,14,"1,387",77,"3,328",6,143,258,"6,742,246",
,Total all ages,"200,643","7,920","22,314",307,168,990,"6,455","2,689","18,597",913,115,"16,260","1,573","2,298",127,"2,147","2,919","2,619",322,"1,629","37,291",152,"2,607","23,449","1,467","1,273","9,230",366,"64,518",19,143,,,
HAWAII,Under 18,"1,762",104,309,1,9,46,48,32,233,40,4,307,1,3,0,51,7,12,0,31,337,0,0,11,49,0,18,0,413,0,109,2,"1,148,121",
,Total all ages,"24,487",828,"2,413",40,75,204,509,290,"1,844",252,27,"2,968",51,109,0,449,92,185,104,125,"1,873",149,17,"4,288",319,0,463,0,"9,945",0,109,,,
IDAHO,Under 18,"5,993",192,978,2,57,19,114,136,766,48,28,759,5,30,7,14,257,94,1,71,928,0,7,78,196,25,188,0,"2,046",3,114,74,"1,554,954",
,Total all ages,"52,292","1,542","4,896",16,162,90,"1,274",777,"3,911",157,51,"4,559",132,355,47,175,788,283,12,243,"8,777",1,716,"5,689",874,333,"1,455",8,"21,290",3,114,,,
ILLINOIS6,Under 18,"7,366",786,"1,876",18,29,564,175,143,897,826,10,"1,297",2,14,0,45,264,620,0,17,834,47,6,1,27,0,564,0,916,0,50,2,"2,865,349",
,Total all ages,"86,947","5,581","14,859",416,437,"2,422","2,306","1,015","9,514","4,267",63,"16,749",127,247,0,84,"2,696","6,798",115,350,"17,060",706,355,"2,825",181,0,"3,987",28,"14,149",0,50,,,
INDIANA,Under 18,"8,831",615,"1,784",9,29,163,414,199,"1,339",220,26,"1,652",20,63,8,24,342,203,0,64,"1,155",0,203,36,457,16,518,9,"1,556",2,104,202,"4,025,425",
,Total all ages,"125,536","7,236","14,135",184,212,"1,118","5,722","1,617","11,037","1,408",73,"10,492",968,"1,434",210,289,"1,054","2,024",204,540,"25,058",7,912,"11,890","2,824","3,261","3,177",39,"39,648",30,104,,,
IOWA8,Under 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total all ages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANSAS,Under 18,"1,639",43,105,0,12,4,27,17,77,10,1,165,0,2,7,8,42,3,0,12,202,0,14,31,335,0,108,0,562,0,0,213,"1,308,859",
,Total all ages,"32,837",387,"1,005",5,43,15,324,116,802,78,9,"1,590",58,271,25,120,285,83,1,44,"2,242",0,152,"4,554","1,971",119,946,0,"18,984",0,0,,,
KENTUCKY,Under 18,"2,985",161,691,9,24,59,69,125,428,107,31,767,6,12,16,86,77,24,0,28,257,0,2,39,11,27,137,0,643,0,1,332,"3,500,586",
,Total all ages,"205,075","1,982","12,269",126,252,517,"1,087","2,060","9,363",723,123,"9,649",812,989,378,"1,459",806,508,95,237,"19,355",1,"4,729","14,812",168,"14,231","3,664",23,"118,907",0,1,,,
LOUISIANA,Under 18,"16,533","1,175","3,683",31,97,202,845,"1,099","2,223",328,33,"3,231",52,33,0,408,390,439,4,117,"1,496",6,88,15,78,12,"2,076",29,"2,963",2,236,165,"3,954,330",
,Total all ages,"176,520","10,465","30,218",334,443,"1,376","8,312","5,163","23,652","1,304",99,"21,314",703,"1,283",138,"2,761","3,019","3,648",405,"1,102","30,437",33,"1,727","5,650","1,287","2,880","7,178",250,"51,773",13,236,,,
MAINE,Under 18,"2,845",51,673,3,9,16,23,96,532,39,6,531,6,16,3,11,205,6,0,33,304,0,1,22,395,0,95,0,483,0,10,134,"1,338,404",
,Total all ages,"40,851",756,"5,456",16,73,135,532,561,"4,615",235,45,"4,877",209,480,46,116,"1,032",144,54,167,"3,692",2,137,"5,811","2,049",15,"1,360",1,"14,432",5,10,,,
MARYLAND,Under 18,"17,825","1,907","3,705",22,83,"1,048",754,608,"2,462",525,110,"4,697",19,29,5,47,784,615,5,153,"2,046",19,13,41,311,1,967,16,"2,369",8,68,153,"5,879,299",
,Total all ages,"181,434","10,327","21,592",266,477,"3,283","6,301","3,851","15,404","2,030",307,"21,826",440,866,103,337,"2,527","3,694",809,690,"31,914",76,"1,821","18,150","4,439",56,"4,843",204,"56,390",262,68,,,
MASSACHUSETTS,Under 18,"4,508",464,615,0,17,88,359,132,428,39,16,"1,343",6,25,1,67,299,72,1,56,132,1,21,18,103,17,227,0,"1,040",0,0,327,"5,884,293",
,Total all ages,"101,681","6,608","10,308",21,315,709,"5,563","1,478","8,263",512,55,"17,237",391,"1,087",112,794,"2,207",913,360,304,"7,125",9,"1,185","8,280","1,280","5,168","3,554",3,"34,756",0,0,,,
MICHIGAN,Under 18,"13,267","1,044","3,054",12,174,229,629,497,"2,266",253,38,"2,711",23,151,42,221,416,284,5,110,"1,668",0,4,166,282,0,498,0,"2,338",0,250,611,"9,857,904",
,Total all ages,"235,757","12,793","23,212",299,970,"1,190","10,334","3,034","18,770","1,201",207,"29,164",702,"3,767","1,149","2,019","2,873","4,798",216,663,"30,320",26,"2,642","26,130","4,739",284,"5,724",107,"84,179",0,250,,,
MINNESOTA,Under 18,"19,391",864,"4,165",2,100,351,411,378,"3,318",441,28,"2,419",27,188,3,297,697,316,0,105,"1,698",2,15,154,"1,609",0,"2,110",108,"4,154",0,460,378,"5,570,925",
,Total all ages,"147,370","5,482","23,768",101,588,"1,005","3,788","2,014","20,063","1,595",96,"14,842","1,075","3,428",15,"1,964","2,662","1,859",153,878,"20,404",30,585,"20,186","7,099",23,"8,994",225,"33,238",0,460,,,
MISSISSIPPI,Under 18,"2,453",80,562,2,9,28,41,120,402,35,5,348,8,12,2,31,42,69,0,8,190,0,197,41,27,15,301,4,432,0,84,53,"1,161,807",
,Total all ages,"60,902","1,201","7,352",58,67,322,754,"1,003","5,998",314,37,"4,884",303,704,275,642,571,945,16,119,"8,003",74,"2,160","5,370",747,"3,039","3,102",72,"21,239",0,84,,,
MISSOURI,Under 18,"15,560",893,"2,886",32,102,265,494,408,"2,156",280,42,"2,821",19,50,14,367,697,236,5,308,"2,018",1,76,108,484,7,"1,210",9,"2,819",0,532,331,"5,406,785",
,Total all ages,"197,865","9,005","27,019",369,507,"1,426","6,703","3,325","21,098","2,383",213,"19,443","1,387","2,088",249,"2,814","3,484","3,565",269,"1,089","32,982",38,"2,128","11,874","2,985",197,"6,333",773,"69,611",0,532,,,
MONTANA,Under 18,"3,722",81,666,1,11,10,59,58,546,57,5,501,1,10,2,0,189,15,0,15,358,0,35,38,499,0,254,0,760,0,298,97,"995,183",
,Total all ages,"27,357","1,174","4,114",10,64,97,"1,003",296,"3,487",305,26,"3,962",100,196,40,110,762,75,12,81,"2,732",0,321,"3,794","1,406",0,"2,003",10,"6,167",0,298,,,
NEBRASKA,Under 18,"6,985",207,"1,426",6,46,90,65,65,"1,222",121,18,"1,255",5,61,4,105,394,78,0,66,"1,006",0,199,63,504,1,341,0,"1,142",0,128,118,"1,516,162",
,Total all ages,"53,007","1,671","6,581",36,213,247,"1,175",398,"5,735",391,57,"7,474",236,"1,066",63,736,"1,693",775,92,314,"8,993",0,945,"4,630","2,355",1,"1,851",13,"13,390",0,128,,,
NEVADA,Under 18,"10,026","1,340","1,262",24,70,304,942,266,855,121,20,"1,944",5,45,12,169,261,231,55,74,"1,244",2,23,70,430,125,615,2,"1,757",0,360,47,"3,013,371",
,Total all ages,"140,967","8,012","10,245",191,408,"1,411","6,002","3,103","6,314",749,79,"17,883",428,"1,813",282,"1,850","1,635","2,240","2,859",903,"11,238",23,961,"10,984","3,720",362,"2,213","3,182","59,772",2,360,,,
NEW HAMPSHIRE,Under 18,"3,283",59,349,0,8,16,35,39,278,23,9,600,2,12,6,37,205,4,0,31,344,0,5,29,267,209,68,0,"1,026",0,30,184,"1,317,257",
,Total all ages,"46,413",872,"3,681",10,76,144,642,309,"3,186",165,21,"5,668",237,758,91,553,"1,254",146,24,130,"6,522",5,187,"5,053","1,989","3,844",884,99,"14,386",0,30,,,
NEW JERSEY,Under 18,"11,513",870,"1,819",11,44,369,446,305,"1,382",97,35,"1,003",24,65,12,325,398,470,4,94,"2,769",0,13,42,395,0,992,23,"1,892",0,303,478,"7,844,556",
,Total all ages,"226,427","7,146","20,307",115,274,"1,699","5,058","2,982","16,659",540,126,"16,839",852,"3,558",214,"1,826","2,474","2,766",522,895,"48,008",41,"7,297","17,230","1,356",24,"9,922",197,"84,648",2,303,,,
NEW MEXICO,Under 18,"3,203",231,478,7,10,22,192,69,360,40,9,664,1,7,4,45,86,66,1,10,472,0,18,53,132,7,161,0,765,1,1,59,"1,406,211",
,Total all ages,"74,786","4,232","7,309",67,103,425,"3,637",916,"5,993",359,41,"8,588",171,324,123,"1,015","1,015",535,87,70,"5,375",3,"1,388","6,464","1,333",568,"1,497",30,"34,655",3,1,,,
NEW YORK6,Under 18,"14,434","1,207","3,468",22,166,466,553,499,"2,536",370,63,"2,249",56,96,1,328,"1,449",288,3,279,"2,643",1,9,59,126,0,393,9,"1,770",0,0,505,"9,571,301",
,Total all ages,"244,041","11,433","40,466",244,933,"2,630","7,626","4,291","34,122","1,786",267,"26,623","2,019","3,749",27,"2,752","12,509","3,156",561,"1,705","69,571",45,470,"25,094",943,0,"4,273",580,"38,065",0,0,,,
NORTH CAROLINA,Under 18,"11,088",757,"2,673",30,13,412,302,708,"1,655",290,20,"2,013",20,118,22,351,478,386,0,72,"1,414",0,18,141,173,0,686,2,"1,759",0,5,204,"5,380,474",
,Total all ages,"200,411","9,180","26,731",351,165,"2,177","6,487","5,451","20,037","1,115",128,"22,676",863,"4,412",799,"2,682","3,006","4,052",148,608,"26,936",39,"3,181","27,915","1,490",0,"4,183",15,"61,490",0,5,,,
NORTH DAKOTA,Under 18,"4,009",91,435,0,19,9,63,44,338,51,2,498,4,20,2,21,122,23,0,30,429,0,243,41,385,1,644,0,914,0,106,103,"757,131",
,Total all ages,"33,210",724,"3,100",10,47,63,604,254,"2,622",215,9,"2,846",140,369,34,278,438,340,11,81,"5,448",1,356,"5,136","2,623",263,"1,583",4,"9,329",0,106,,,
OHIO,Under 18,"20,003",873,"2,995",17,79,275,502,396,"2,351",199,49,"4,360",14,119,0,337,760,327,5,92,"1,675",5,138,61,409,41,"1,722",1,"5,685",2,382,417,"9,011,984",
,Total all ages,"218,433","8,085","29,413",237,470,"1,548","5,830","3,354","25,004",777,278,"30,939",770,"2,089",14,"2,701","3,142","3,948",792,451,"39,708",23,"1,275","13,723","4,793","5,855","9,835",20,"60,471",4,382,,,
OKLAHOMA,Under 18,"7,701",392,"1,641",11,20,93,268,306,"1,218",81,36,824,8,32,18,307,194,147,0,35,"1,146",11,7,70,83,217,567,0,"1,350",0,652,400,"3,847,775",
,Total all ages,"101,053","4,859","14,717",138,216,642,"3,863","2,388","11,304",856,169,"7,785",539,"1,332",362,"2,932","1,224","2,418",7,376,"17,766",28,630,"8,660","1,198","10,698","2,195",13,"22,658",4,652,,,
OREGON,Under 18,"8,618",351,"1,720",4,32,110,205,196,"1,310",157,57,"1,117",9,55,3,32,553,97,0,49,"1,653",0,2,104,632,0,546,0,"1,388",0,307,194,"3,710,013",
,Total all ages,"125,230","4,232","18,015",55,217,824,"3,136","1,725","14,123","1,911",256,"10,735",616,"1,871",54,611,"3,677","2,113",281,348,"13,605",1,342,"13,707","2,891",29,"6,210",3,"45,582",0,307,,,
PENNSYLVANIA,Under 18,"36,034","2,558","4,540",19,225,772,"1,542",617,"3,338",520,65,"4,986",50,948,34,302,"1,353",710,5,477,"3,231",0,26,280,"1,696",128,"6,882",34,"2,980",0,"4,814","1,375","12,629,530",
,Total all ages,"345,822","19,536","44,478",444,"1,132","3,915","14,045","5,185","36,453","2,508",332,"40,984","2,222","8,126",446,"2,119","6,267","4,921","1,182","2,286","61,934",34,"1,806","43,798","6,716","19,808","31,264",234,"42,847",0,"4,814",,,
RHODE ISLAND,Under 18,"2,373",121,406,0,13,44,64,70,302,30,4,441,1,16,3,33,138,85,0,11,104,0,25,2,21,0,552,0,396,0,18,48,"1,057,315",
,Total all ages,"25,996",954,"2,660",4,77,194,679,498,"1,992",158,12,"4,169",125,551,75,352,915,347,63,82,"2,049",4,74,"2,423",337,11,"2,269",0,"8,518",0,18,,,
SOUTH CAROLINA,Under 18,"10,803",616,"2,328",28,106,179,303,455,"1,692",148,33,"1,969",8,50,21,151,299,415,1,48,"1,957",0,11,69,283,64,"1,103",0,"1,377",0,33,373,"4,408,967",
,Total all ages,"152,664","6,970","22,900",287,532,"1,209","4,942","3,116","18,578","1,070",136,"15,413","1,115","3,333",348,"2,366","2,473","2,594",285,284,"34,105",70,"1,167","15,188","4,092","5,722","8,101",588,"25,517",0,33,,,
SOUTH DAKOTA,Under 18,"4,886",92,657,1,8,17,66,89,506,55,7,689,2,63,4,26,196,95,0,10,819,0,242,51,447,0,408,0,"1,010",0,75,114,"816,012",
,Total all ages,"44,268","1,046","2,866",11,43,72,920,294,"2,348",201,23,"4,451",124,816,31,152,536,250,15,51,"8,108",1,490,"5,891","2,164",99,"2,409",616,"14,077",0,75,,,
TENNESSEE,Under 18,"19,692","1,421","3,843",46,103,410,862,506,"2,690",624,23,"3,922",59,111,26,147,777,423,0,105,"2,380",9,30,104,394,165,"1,422",0,"3,517",0,837,437,"6,363,426",
,Total all ages,"330,989","14,353","38,557",380,435,"1,797","11,741","4,458","30,141","3,822",136,"30,862","1,690","5,043",716,"1,611","4,177","2,869",527,545,"47,876",71,"4,361","19,108","3,245","13,627","5,968",10,"134,936",0,837,,,
TEXAS,Under 18,"55,458","3,946","10,127",67,363,"1,242","2,274","1,560","7,577",926,64,"11,680",121,320,36,157,"1,525",895,34,380,"9,893",15,153,349,"1,072",567,"1,144",21,"11,378",0,"1,645",876,"26,829,159",
,Total all ages,"729,902","34,166","74,627",747,"2,068","5,708","25,643","9,009","60,263","4,952",403,"92,541","4,332","6,320",447,862,"7,246","12,968","3,987","2,442","139,188",304,"3,931","69,643","8,237","54,286","7,549",497,"204,684",0,"1,645",,,
UTAH,Under 18,"12,307",374,"2,523",6,76,93,199,148,"2,187",163,25,"1,238",11,43,4,113,732,140,14,262,"2,258",1,24,92,670,57,354,0,"3,075",1,321,109,"2,670,944",
,Total all ages,"104,886","2,327","14,038",36,306,398,"1,587",890,"12,545",541,62,"7,972",704,"1,007",35,940,"2,868",839,374,686,"19,562",1,"1,428","7,119","3,826","2,677","2,280",63,"35,815",4,321,,,
VERMONT,Under 18,702,40,100,0,16,4,20,13,74,9,4,163,0,8,2,3,75,12,0,9,38,0,5,15,45,0,79,0,108,0,0,72,"615,720",
,Total all ages,"14,334",684,"1,637",11,86,38,549,220,"1,343",54,20,"1,519",52,306,56,98,321,36,1,38,902,0,201,"2,576",82,0,853,0,"4,972",0,0,,,
VIRGINIA,Under 18,"15,864",719,"2,994",18,90,330,281,314,"2,420",217,43,"2,694",19,126,25,176,515,294,4,109,"2,132",0,36,49,503,68,588,0,"4,293",0,520,389,"8,240,312",
,Total all ages,"268,094","7,090","26,694",356,558,"1,431","4,745","2,309","23,014","1,180",191,"30,541","1,572","4,868","1,272","1,085","3,490","4,062",373,597,"45,409",12,"1,536","20,885","4,131","19,398","2,844",46,"91,669",0,520,,,
WASHINGTON,Under 18,"10,996",866,"2,274",19,81,323,443,411,"1,617",216,30,"2,764",8,17,1,165,798,215,4,140,"1,053",0,4,152,554,10,263,0,"1,699",0,9,198,"6,423,244",
,Total all ages,"171,466","8,384","25,722",150,536,"1,767","5,931","4,292","19,762","1,504",164,"24,701",677,"1,130",55,"3,245","4,798","1,824",211,550,"11,283",7,257,"27,632","1,721",78,"2,460",120,"56,599",3,9,,,
WEST VIRGINIA,Under 18,496,38,55,1,2,3,32,9,44,2,0,121,0,1,1,2,22,9,0,6,67,0,0,6,13,7,15,0,124,0,9,131,"1,052,107",
,Total all ages,"29,202","1,173","3,757",28,55,56,"1,034",440,"3,112",181,24,"2,825",214,265,41,263,468,281,60,63,"6,044",2,86,"3,141",555,727,689,8,"8,531",0,9,,,
WISCONSIN,Under 18,"35,109","1,023","4,622",14,220,258,531,472,"3,531",578,41,"2,419",37,96,36,335,"1,443",444,5,521,"3,150",1,96,213,"1,786",0,"6,994",27,"10,437",0,"1,424",422,"5,730,204",
,Total all ages,"245,015","7,907","25,731",171,925,"1,172","5,639","2,080","22,087","1,431",133,"16,251",899,"2,220",368,"1,125","5,531","3,683",451,"1,587","31,066",19,"2,116","24,368","10,654",0,"31,008",530,"78,077",0,"1,424",,,
WYOMING,Under 18,"3,191",52,391,0,1,1,50,62,299,23,7,404,0,5,0,6,108,16,21,21,580,0,9,50,364,15,104,41,906,12,86,54,"507,616",
,Total all ages,"28,437",600,"2,197",12,26,21,541,239,"1,811",128,19,"1,902",36,127,6,80,421,52,53,109,"4,895",0,433,"3,432","1,725","3,062",840,166,"8,198",17,86,,,
1 Does not include traffic arrests.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Violent crimes are offenses of murder and nonnegligent manslaughter, rape, robbery, and aggravated assault. Property crimes are offenses of burglary, larceny-theft, motor vehicle theft, and arson.",,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,
3 The rape figures in this table are aggregate totals of the data submitted based on both the legacy and revised Uniform Crime Reporting definitions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 Drunkenness is not considered a crime in some states; therefore, the figures vary widely from state to state. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Includes arrests reported by the District of Columbia Fire and Emergency Medical Services: Arson Investigation Unit and the Metro Transit Police. These agencies have no population associated with them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 See 2018 arrest data information in the data declaration for further explanation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7 The Florida arrest counts for offenses against the family and children, drunkenness, disorderly conduct, vagrancy, suspicion, and curfew and loitering law violations are included under the category All other offenses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Limited data for 2018 were available for Iowa. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE:  Because the number of agencies submitting arrest data varies from year to year, users are cautioned about making direct comparisons between 2018 arrest totals and those published in previous years' editions of Crime in the United States. Further, arrest figures may vary widely from state to state because some Part II crimes are not considered crimes in some states.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
